,Brand,Make_Year,Fuel,KMs_Driven,Engine_Displacement,No_Of_Owner,Transmission,Mileage,Max_Power,Torque,Seats,Color,Gear_Box,Drive_Type,Steering_Type,Front_Brake_Type,Rear_Brake_Type,Acceleration,Engine_Type,Price
214,Hyundai i20 Active 1.2 S,2017,Petrol,"29,000 kms",1197 CC,Second Owner,Manual,17.19 kmpl,81.86 bhp,114.73Nm@ 4000rpm,5,Red,5 Speed,FWD,Power,Disc,Drum,14 Seconds,VTVT Petrol Engine,6.5 Lakh*
215,Volkswagen Vento 1.5 TDI Highline AT,2016,Diesel,"90,000 kms",1498 CC,First Owner,Automatic,22.15 kmpl,108.6 bhp,250Nm@ 1500-3000rpm,5,Silver,7 Speed,FWD,Power,Ventilated Disc,Drum,11.07 Seconds,TDI Diesel Engine,7.25 Lakh*
216,Maruti Wagon R VXI BS IV,2011,Petrol,"62,435 kms",998 CC,Second Owner,Manual,18.9 kmpl,67.1 bhp,90Nm@ 3500rpm,5,White,5 Speed,FWD,Power,Ventilated Disc,Drum,-,K Series Petrol Engine,3.5 Lakh*
217,BMW X1 sDrive20d,2014,Diesel,"89,000 kms",1995 CC,Second Owner,Automatic,17.05 kmpl,184 bhp,380Nm@ 1750-2750rpm,5,Orange,8-Speed,RWD,Power,Ventilated Discs,Ventilated Discs,7.9 Seconds,sDrive20d Diesel Engine,12.25 Lakh*
218,BMW 5 Series 530d M Sport,2016,Diesel,"48,429 kms",2993 CC,First Owner,Automatic,14.69 kmpl,258 bhp,560Nm@ 1500-3000rpm,5,White,8 Speed,RWD,Power,Ventilated Disc,Ventilated Disc,5.8 Seconds,Diesel Engine,37.5 Lakh*
219,Volkswagen Polo 1.2 MPI Highline,2015,Petrol,"41,219 kms",1198 CC,First Owner,Manual,16.47 kmpl,74 bhp,110Nm@ 3750rpm,5,Grey,5 Speed,FWD,Power,Disc,Drum,14.2 Seconds,MPI Petrol Engine,4.57 Lakh*
220,Hyundai i10 Asta 1.2 AT with Sunroof,2010,Petrol,"65,000 kms",1197 CC,Second Owner,Automatic,19.2 kmpl,80 bhp,"11.4@ 4,000(kgm@ rpm)",5,White,4 Speed,-,Power,Ventilated Disc,Drum,-,In-Line Engine,2.9 Lakh*
221,Tata Manza ELAN Quadrajet BS IV,2011,Diesel,"74,000 kms",1248 CC,Second Owner,Manual,21.12 kmpl,88.8 bhp,200Nm@ 1750-3000rpm,5,White,5 Speed,FWD,Power,Ventilated Disc,Drum,-,"4 Cylinder, Common Rail,",2.45 Lakh*
222,Datsun GO T,2018,Petrol,"35,000 kms",1198 CC,First Owner,Manual,19.02 kmpl,67.05 bhp,104Nm@ 4000rpm,5,Orange,5 Speed,FWD,Power,Disc,Drum,13.3 Seconds,Naturally Aspirated 12V,3.3 Lakh*
223,Hyundai i20 Sportz AT 1.4,2013,Petrol,"52,507 kms",1396 CC,Second Owner,Automatic,15.0 kmpl,98.6 bhp,136.3Nm@ 4200rpm,5,Blue,4 Speed,FWD,Power,Disc,Disc,-,Gamma VTVT Petrol Engine,4.2 Lakh*
224,Skoda Rapid 1.6 TDI Ambition Plus,2012,Diesel,"82,000 kms",1598 CC,Second Owner,Manual,20.5 kmpl,103.5 bhp,250Nm@ 1500-2500rpm,5,Silver,5 Speed,FWD,Power,Disc,Drum,-,Turbocharged Diesel Engin,3.75 Lakh*
225,Datsun RediGO T Option,2016,Petrol,"54,000 kms",799 CC,First Owner,Manual,22.7 kmpl,53.64 bhp,72Nm@ 4386rpm,5,Grey,5-Speed,2WD,Power,Disc,Drum,-,0.8L Petrol Engine,3.25 Lakh*
226,Hyundai i10 Sportz 1.1L,2014,Petrol,"20,000 kms",1086 CC,First Owner,Manual,19.81 kmpl,68.05 bhp,99.04Nm@ 4500rpm,5,S Beigh,5 Speed,FWD,Power,Ventilated Disc,Drum,14.3 Seconds,IRDE2 Engine,3.65 Lakh*
227,Toyota Innova 2.5 Z Diesel 7 Seater BS IV,2013,Diesel,"1,20,000 kms",2494 CC,First Owner,Manual,12.99 kmpl,100.6 bhp,200Nm@ 1200-3600rpm,7,-,5 Speed,FWD,Power,Ventilated Disc,Leading-Trailing Drum,-,2KD-FTV Diesel Engine,9 Lakh*
228,Maruti Ritz ZXi,2011,Petrol,"1,17,000 kms",1197 CC,Second Owner,Manual,18.5 kmpl,85.80 bhp,114Nm@ 4000rpm,5,Silver,5 Speed,FWD,Power,Ventilated Disc,Drum,15 Seconds,K Series Petrol Engine,2.65 Lakh*
229,Nissan Micra Diesel XV,2011,Diesel,"91,000 kms",1461 CC,First Owner,Manual,23.08 kmpl,63.1 bhp,160Nm@ 2000rpm,5,White,5 Speed Manual,Two Whhel Drive,Power,Ventilated Disc,Drum,-,In-Line Diesel Engine,2.49 Lakh*
230,Mahindra TUV 300 T8,2015,Diesel,"69,234 kms",1493 CC,Second Owner,Manual,18.49 kmpl,100 bhp,240Nm@ 1600-2800rpm,7,Blue,5 Speed,RWD,Power,Disc,Drum,13.9 Seconds,mHawk 100 Diesel Engine,5.4 Lakh*
231,Honda City i VTEC S,2013,Petrol,"84,000 kms",1497 CC,First Owner,Manual,17.8 kmpl,117.3 bhp,145Nm@ 4600rpm,5,Silver,5 Speed,FWD,Power,Disc,Drum,10 Seconds,i VTEC Engine,5.1 Lakh*
232,Maruti Wagon R LXI BS IV,2010,Petrol,"29,000 kms",998 CC,Third Owner,Manual,18.9 kmpl,67.1 bhp,90Nm@ 3500rpm,5,Maroon,5 Speed,FWD,Power,Ventilated Disc,Drum,-,K Series Petrol Engine,2.75 Lakh*
233,Maruti Vitara Brezza ZDi,2018,Diesel,"47,542 kms",1248 CC,First Owner,Manual,24.3 kmpl,88.5 bhp,200Nm@ 1750rpm,5,Red,5 Speed,FWD,Power,Ventilated Disc,Drum,12.36 Seconds,DDiS 200 Diesel Engine,8.7 Lakh*
234,Maruti Alto K10 VXI,2016,Petrol,"43,000 kms",998 CC,Second Owner,Manual,23.95 kmpl,67.05 bhp,90Nm@ 3500rpm,5,Grey,5 Speed,FWD,Power,Ventilated Disc,Drum,13.3 Seconds,K Series Petrol Engine,3.2 Lakh*
235,BMW 5 Series 520d Luxury Line,2013,Diesel,"88,000 kms",1995 CC,Second Owner,Automatic,18.12 kmpl,190 bhp,400Nm@ 1750-2500rpm,5,Blue,8 Speed,RWD,Power,Ventilated Disc,Ventilated Disc,7.7 Seconds,Diesel Engine,16 Lakh*
236,Hyundai Grand i10 1.2 Kappa Sportz BSIV,2019,Petrol,"16,000 kms",1197 CC,First Owner,Manual,18.9 kmpl,81.86 bhp,113.75nm@ 4000rpm,5,Grey,5 Speed,FWD,Power,Disc,Drum,12.9 Seconds,Kappa VTVT Petrol Engine,5.75 Lakh*
237,Skoda Rapid 1.5 TDI AT Style BSIV,2019,Diesel,"58,638 kms",1498 CC,First Owner,Automatic,21.72 kmpl,108.6 bhp,250Nm@ 1500-2500rpm,5,Silver,7 Speed,FWD,Power,Disc,Drum,11.41 Seconds,Diesel Engine,10.5 Lakh*
238,Maruti Baleno Zeta 1.2,2018,Petrol,"43,279 kms",1197 CC,First Owner,Manual,21.4 kmpl,83.1 bhp,115Nm@ 4000rpm,5,Grey,5 Speed,FWD,Power,Disc,Drum,12.36 seconds,VVT Petrol Engine,6.75 Lakh*
239,Skoda Octavia Ambition 2.0 TDI MT,2015,Diesel,"56,302 kms",1968 CC,First Owner,Manual,20.6 kmpl,141 bhp,320Nm@ 1750-3000rpm,5,Biege,6 Speed,FWD,Power,Disc,Disc,9.35 Seconds,Diesel Engine,10.99 Lakh*
