,Brand,Make_Year,Fuel,KMs_Driven,Engine_Displacement,No_Of_Owner,Transmission,Mileage,Max_Power,Torque,Seats,Color,Gear_Box,Drive_Type,Steering_Type,Front_Brake_Type,Rear_Brake_Type,Acceleration,Engine_Type,Price
220,Maruti Ciaz 1.4 Zeta,2017,Petrol,"44,000 kms",1373 CC,First Owner,Manual,20.73 kmpl,91.1 bhp,130Nm@ 4000rpm,5,Silver,5 Speed,FWD,Power,Ventilated Disc,Drum,14 Seconds,k14B VVT Engine,7.75 Lakh*
221,Renault Duster 110PS Diesel RxZ,2012,Diesel,"60,000 kms",1461 CC,Second Owner,Manual,19.01 kmpl,108.45 bhp,248Nm@ 2250rpm,5,Brown,6 Speed,FWD,Power,Ventilated Disc,Drum,-,dCi Diesel Engine,3.51 Lakh*
222,Ford Aspire 1.5 Ti-VCT Titanium,2016,Petrol,"27,000 kms",1499 CC,First Owner,Automatic,17.01 kmpl,110.5 bhp,136Nm@ 4250rpm,5,-,5 Speed CVT,FWD,Power,Ventilated Disc,Drum,15.7 Seconds,Ti-VCT Petrol Engine,5.5 Lakh*
223,Renault KWID RXT,2017,Petrol,"20,000 kms",799 CC,First Owner,Manual,25.17 kmpl,53.3 bhp,72Nm@ 4386rpm,5,Silver,5-Speed,FWD,Power,Disc,Drum,16 Seconds,Petrol Engine,3.75 Lakh*
224,Toyota Innova 2.5 GX (Diesel) 8 Seater,2012,Diesel,"1,47,234 kms",2494 CC,Second Owner,Manual,12.99 kmpl,100 bhp,200Nm@ 1400-3400rpm,8,Grey,5 Speed,FWD,Power,Ventilated Disc,Leading-Trailing Drum,-,In-Line Engine,5.67 Lakh*
225,Renault Duster 110PS Diesel RXZ Optional with Nav,2013,Diesel,"65,000 kms",1461 CC,First Owner,Manual,19.01 kmpl,108.45 bhp,248Nm@ 2250rpm,5,White,6 Speed,FWD,Power,Ventilated Disc,Drum,-,dCi Diesel Engine,4.15 Lakh*
226,Honda City i VTEC CVT VX,2017,Petrol,"76,653 kms",1497 CC,First Owner,Automatic,18.0 kmpl,117.3 bhp,145Nm@ 4600rpm,5,Grey,5 Speed,FWD,Power,Disc,Drum,10 Seconds,i VTEC Engine,9.5 Lakh*
227,Datsun RediGO T Option,2017,Petrol,"38,000 kms",799 CC,First Owner,Manual,22.7 kmpl,53.64 bhp,72Nm@ 4386rpm,5,Blue,5 Speed,2WD,Power,Disc,Drum,-,0.8L Petrol Engine,3.25 Lakh*
228,Mahindra Bolero 2011-2019 SLE,2012,Diesel,"1,70,000 kms",2523 CC,First Owner,Manual,15.96 kmpl,62.1 bhp,195Nm@ 1400-2200rpm,7,Silver,6 Speed,RWD,Power,Disc,Drum,30.3 Seconds,M2DiCR Diesel Engine,3.5 Lakh*
229,Hyundai i20 Sportz 1.4 CRDi,2016,Diesel,"58,000 kms",1396 CC,First Owner,Manual,22.54 kmpl,88.73 bhp,219.7Nm@ 1500-2750rpm,5,Silver,5 Speed,FWD,Power,Disc,Drum,11.9 Seconds,U2 CRDI Diesel Engine,5.75 Lakh*
