,Brand,Make_Year,Fuel,KMs_Driven,Engine_Displacement,No_Of_Owner,Transmission,Mileage,Max_Power,Torque,Seats,Color,Gear_Box,Drive_Type,Steering_Type,Front_Brake_Type,Rear_Brake_Type,Acceleration,Engine_Type,Price
427,Honda City SV MT,2016,Petrol,"1,21,517 kms",1497 CC,First Owner,Manual,17.4 kmpl,117.60 bhp,145Nm@ 4600rpm,5,White,5 Speed,FWD,Electric,Ventilated Disc,Drum,9.64 Seconds,i VTEC Engine,5.8 Lakh*
428,Hyundai Grand i10 Sportz,2015,Petrol,"83,664 kms",1197 CC,First Owner,Manual,18.9 kmpl,82 bhp,114Nm@ 4000rpm,5,Orange,5 Speed,FWD,Power,Disc,Drum,12.9 Seconds,Kappa VTVT Petrol Engine,3.9 Lakh*
429,Honda Jazz 1.2 SV i VTEC,2015,Petrol,"42,000 kms",1199 CC,First Owner,Manual,18.7 kmpl,88.7 bhp,110Nm@ 4800rpm,5,Brown,5 Speed,FWD,Power,Disc,Drum,13.7 Seconds,i-VTEC Petrol Engine,5.6 Lakh*
430,Ford Figo Diesel EXI,2014,Diesel,"70,003 kms",1399 CC,First Owner,Manual,20.0 kmpl,68.05 bhp,160Nm@ 2000rpm,5,Grey,5 Speed,FWD,Power,Ventilated Disc,Drum,-,Duratorq Diesel Engine,3.2 Lakh*
431,Hyundai i20 1.4 Asta,2017,Diesel,"45,001 kms",1396 CC,First Owner,Manual,22.54 kmpl,88.73 bhp,219.7Nm@ 1500-2750rpm,5,Grey,6 Speed,FWD,Power,Disc,Drum,11.9 Seconds,U2 CRDI Diesel Engine,7.4 Lakh*
432,Jeep Compass 2.0 Limited Option,2018,Diesel,"27,000 kms",1956 CC,First Owner,Manual,17.1 kmpl,170 bhp,350Nm@ 1750-2500rpm,5,White,6 Speed,4X2,Power,Disc,Discs,-,2.0-Litre 4-Cyl Multijet,16.75 Lakh*
433,Toyota Innova Crysta 2016-2020 2.8 ZX AT BSIV,2019,Diesel,"26,000 kms",2755 CC,First Owner,Automatic,11.36 kmpl,171.5 bhp,360Nm@ 1200-3400rpm,7,Golden,6 Speed,RWD,Power,Disc,Drum,-,1-GD FTV Engine,24.5 Lakh*
434,Toyota Innova Crysta 2016-2020 2.8 ZX AT BSIV,2019,Diesel,"12,000 kms",2755 CC,First Owner,Automatic,11.36 kmpl,171.5 bhp,360Nm@ 1200-3400rpm,7,Grey,6 Speed,RWD,Power,Disc,Drum,-,1-GD FTV Engine,25 Lakh*
435,Maruti Baleno Zeta 1.2,2018,Petrol,"14,000 kms",1197 CC,First Owner,Manual,21.4 kmpl,83.1 bhp,115Nm@ 4000rpm,5,Blue,5 Speed,FWD,Power,Disc,Drum,12.36 seconds,VVT Petrol Engine,7.5 Lakh*
436,Toyota Fortuner 4x4 MT,2013,Diesel,"50,000 kms",2982 CC,First Owner,Manual,12.55 kmpl,168.5 bhp,343Nm@ 1400-3400rpm,7,Grey,5 Speed,4WD,Power,Ventilated Disc,Drum,9.6 Seconds,D-4D Diesel Engine,16.5 Lakh*
437,Toyota Innova Crysta 2016-2020 2.8 ZX AT BSIV,2019,Diesel,"59,000 kms",2755 CC,First Owner,Automatic,11.36 kmpl,171.5 bhp,360Nm@ 1200-3400rpm,7,White,6 Speed,RWD,Power,Disc,Drum,-,1-GD FTV Engine,23.65 Lakh*
