,Brand,Make_Year,Fuel,KMs_Driven,Engine_Displacement,No_Of_Owner,Transmission,Mileage,Max_Power,Torque,Seats,Color,Gear_Box,Drive_Type,Steering_Type,Front_Brake_Type,Rear_Brake_Type,Acceleration,Engine_Type,Price
407,Maruti Alto LXi,2011,Petrol,"70,622 kms",796 CC,First Owner,Manual,20.5 kmpl,103.5 bhp,250Nm@ 1500-2500rpm,5,Silver,5-speed,FWD,Power,Disc,Drum,-,Turbocharged Diesel Engin,1.65 Lakh*
408,Skoda Rapid 1.6 TDI Elegance,2012,Diesel,"74,225 kms",1598 CC,Second Owner,Manual,19.01 kmpl,108.45 bhp,248Nm@ 2250rpm,5,White,6 Speed,FWD,Power,Ventilated Disc,Drum,-,dCi Diesel Engine,2.47 Lakh*
409,Renault Duster 110PS Diesel RxZ,2013,Diesel,"99,672 kms",1461 CC,First Owner,Manual,20.5 kmpl,103.5 bhp,250Nm@ 1500-2500rpm,5,Black,5-speed,FWD,Power,Disc,Drum,-,Turbocharged Diesel Engin,4.54 Lakh*
410,Skoda Rapid 1.6 TDI Elegance,2013,Diesel,"72,571 kms",1598 CC,Third Owner,Manual,17.5 kmpl,106 bhp,"25.5@ 1,900(kgm@ rpm)",5,Black,5 Speed,FWD,Power,Disc,Disc,11.8 seconds,In-Line Engine,2.35 Lakh*
411,Skoda Laura L n K 1.9 PD,2008,Diesel,"1,57,160 kms",1896 CC,Second Owner,Manual,17.8 kmpl,75 bhp,190Nm@ 2000rpm,5,White,5 Speed,-,Power,Ventilated Disc,Drum,13.75 seconds,In-Line Engine,1.9 Lakh*
412,Maruti Swift Vdi BSIII,2010,Diesel,"1,17,254 kms",1248 CC,Second Owner,Manual,13.5 kmpl,175.56 bhp,400Nm@ 2000-2500rpm,7,White,5 Speed,4WD,Power,Ventilated Disc,Ventilated Drum,14.5 Seconds,DI-Diesel Engine,2.15 Lakh*
413,Mitsubishi Pajero Sport 4X4,2013,Diesel,"1,02,210 kms",2477 CC,Second Owner,Manual,12.83 kmpl,162 bhp,340Nm@ 1800-3250rpm,7,White,5 Speed,4WD,Power,Ventilated Disc,Disc,13.5 Seconds,RX270 XDi Diesel Engine,5.99 Lakh*
414,Mahindra Ssangyong Rexton RX5,2013,Diesel,"73,751 kms",2696 CC,Second Owner,Manual,22.7 kmpl,89.84 bhp,204Nm@ 2000-2750rpm,5,Silver,5 Speed,FWD,Power,Ventilated Disc,Drum,13.5 Seconds,TDCi Diesel Engine,4.59 Lakh*
415,Ford EcoSport 1.5 DV5 MT Titanium,2013,Diesel,"53,435 kms",1498 CC,Second Owner,Manual,22.74 kmpl,47.3 bhp,69Nm@ 3500rpm,5,Red,5 Speed,FWD,Power,Solid Disc,Drum,19 Seconds,F8D Petrol Engine,4.23 Lakh*
416,Maruti Alto 800 LXI,2014,Petrol,"38,814 kms",796 CC,Third Owner,Manual,20.0 kmpl,68 bhp,160Nm@ 2000rpm,5,White,5 Speed,Front Wheel Drive,Power,Ventilated Discs,Drum,14.8 Seconds,Diesel Engine,1.79 Lakh*
417,Ford Figo Diesel ZXI,2011,Diesel,"1,61,080 kms",1399 CC,Second Owner,Manual,20.0 kmpl,68 bhp,160Nm@ 2000rpm,5,White,5 Speed,Front Wheel Drive,Power,Ventilated Discs,Drum,14.8 Seconds,Diesel Engine,1.16 Lakh*
418,Ford Figo Diesel EXI,2012,Diesel,"98,421 kms",1399 CC,First Owner,Manual,17.8 kmpl,75 bhp,190Nm@ 2000rpm,5,White,5 Speed,-,Power,Ventilated Disc,Drum,13.75 seconds,In-Line Engine,1.95 Lakh*
419,Maruti Swift Vdi BSIII,2010,Diesel,"1,86,629 kms",1248 CC,Fourth & Above Owner,Manual,20.0 kmpl,68 bhp,160Nm@ 2000rpm,5,Silver,5 Speed,Front Wheel Drive,Power,Ventilated Discs,Drum,14.8 Seconds,Diesel Engine,1.74 Lakh*
420,Ford Figo Diesel Titanium,2012,Diesel,"1,22,302 kms",1399 CC,First Owner,Manual,18.2 kmpl,67.1 bhp,90Nm@ 3500rpm,5,Silver,5 Speed,FWD,Power,Ventilated Disc,Drum,16.26 seconds,K Series Petrol Engine,1.87 Lakh*
421,Maruti Zen Estilo LXI BSIII,2008,Petrol,"4,155 kms",998 CC,Fourth & Above Owner,Manual,17.0 kmpl,null bhp,5,5,Real Earth,-,-,Power,-,-,-,null,"83,400*"
422,Hyundai Santro Xing XO,2007,Petrol,"73,532 kms",1086 CC,First Owner,Manual,20.36 kmpl,78.9 bhp,111.7Nm@ 4000rpm,5,Grey,5 Speed,FWD,Power,Ventilated Disc,Drum,-,DOHC Kappa2 Engine,1.01 Lakh*
423,Hyundai i10 Magna 1.2 iTech SE,2011,Petrol,"82,522 kms",1197 CC,Second Owner,Manual,19.3 kmpl,73.9 bhp,190Nm@ 2000rpm,5,White,5 Speed,2 WD,Power,Ventilated Disc,Drum,-,In-Line Engine,2.32 Lakh*
424,Maruti Swift Dzire Vdi BSIV,2012,Diesel,"74,203 kms",1248 CC,First Owner,Manual,21.1 kmpl,55.2 bhp,74.5Nm@ 4000rpm,5,White,5 Speed,FWD,Power,Disc,Drum,19 Seconds,Petrol Engine,4.23 Lakh*
425,Hyundai EON Magna Plus,2016,Petrol,"69,499 kms",814 CC,First Owner,Manual,19.7 kmpl,46.3 bhp,62Nm@ 3000rpm,5,Silver,5 Speed,FWD,Power,Disc,Drum,17.7 seconds,In-Line Engine,2.44 Lakh*
426,Maruti Alto LXi BSIII,2006,Petrol,"1,23,793 kms",796 CC,Second Owner,Manual,15.6 kmpl,70 bhp,102Nm@ 4000rpm,5,Silver,5 Speed,Front Wheel Drive,Power,Ventilated Disc,Drum,14.8 Seconds,Petrol Engine,"85,100*"
427,Ford Figo Petrol EXI,2010,Petrol,"36,332 kms",1196 CC,First Owner,Manual,23.9 kmpl,126.2 bhp,259.9Nm@ 1900-2750rpm,5,White,6 Speed,FWD,Power,Disc,Drum,10.62 Seconds,U2 VGT Diesel Engine,1.12 Lakh*
428,Hyundai Verna 1.6 CRDi S,2017,Diesel,"60,000 kms",1582 CC,First Owner,Manual,24.52 kmpl,88.5 bhp,200Nm@ 1750rpm,7,Grey,5 Speed,FWD,Power,Ventilated Disc,Drum,13.3 Seconds,D13A SHVS Engine,6.5 Lakh*
429,Maruti Ertiga SHVS VDI,2017,Diesel,"45,000 kms",1248 CC,First Owner,Manual,19.7 kmpl,46.3 bhp,62Nm@ 3000rpm,5,White,5 Speed,FWD,Power,Disc,Drum,17.7 seconds,In-Line Engine,6.5 Lakh*
430,Maruti Alto LXi,2020,Petrol,"27,096 kms",796 CC,First Owner,Manual,23.59 kmpl,null bhp,5,5,Silver,-,-,Power,-,-,-,null,3.35 Lakh*
431,Toyota Etios GD,2013,Diesel,"1,02,452 kms",1364 CC,Second Owner,Manual,18.9 kmpl,81.86 bhp,113.75nm@ 4000rpm,5,White,4 Speed,FWD,Power,Disc,Drum,12.9 Seconds,Kappa VTVT Petrol Engine,3.26 Lakh*
432,Hyundai Grand i10 1.2 Kappa Magna AT,2018,Petrol,"30,000 kms",1197 CC,First Owner,Automatic,21.1 km/kg,55.2 bhp,74.5Nm@ 4000rpm,5,C White,5 Speed,FWD,Power,Disc,Drum,19 Seconds,Bifuel Engine,5.5 Lakh*
433,Hyundai EON LPG Era Plus,2014,LPG,"73,133 kms",814 CC,First Owner,Manual,25.83 kmpl,99 bhp,215Nm@ 1750-3000rpm,5,White,5 Speed,FWD,Power,Ventilated Disc,Drum,10.75 Seconds,TDCi Diesel Engine,2.16 Lakh*
434,Ford Aspire 1.5 TDCi Titanium Opt,2016,Diesel,"60,000 kms",1498 CC,First Owner,Manual,20.92 kmpl,67.1 bhp,90Nm@ 3500rpm,5,Red,5 Speed,FWD,Power,Ventilated Disc,Drum,13.3 Seconds,K Series Petrol Engine,4.25 Lakh*
435,Maruti Alto K10 2010-2014 VXI,2011,Petrol,"1,12,036 kms",998 CC,Second Owner,Manual,19.12 kmpl,91.1 bhp,130Nm@ 4000rpm,5,White,4 Speed,FWD,Power,Ventilated Disc,Drum,14 Seconds,k14B VVT Engine,1.65 Lakh*
436,Maruti Ciaz 1.4 AT Delta,2017,Petrol,"40,000 kms",1373 CC,First Owner,Automatic,25.8 kmpl,98.6 bhp,200Nm@ 1750rpm,5,White,5 Speed,FWD,Power,Disc,Drum,17 Seconds,i-DTEC Diesel Engine,6 Lakh*
437,Honda Amaze 2016-2021 E i-DTEC,2017,Diesel,"55,000 kms",1498 CC,First Owner,Manual,16.78 kmpl,88.73 bhp,132Nm@ 3000rpm,5,Grey,5 Speed,FWD,Power,Ventilated Disc,Drum,10.6 Seconds,Petrol Engine,5.5 Lakh*
